season,week,home,away,spread_close,total_close,ml_home,ml_away,event_id,book,market,selection,line,price,asof_ts,team,player,player_id,sport,odds,captured_at,game_id,side
2006,1,9/10 1:00 ET Denver -3.5 At St. Louis 45.5,Date & Time Favorite Line Underdog Total,9.0,9.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@910_100_ET_DENVER_35_AT_ST_LOUIS_455,
2006,1,Browns,Saints,3.0,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SAINTS@BROWNS,
2006,1,Buccaneers,Ravens,3.0,33.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAVENS@BUCCANEERS,
2006,1,Cardinals,49ers,9.5,43.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::49ERS@CARDINALS,
2006,1,Chiefs,Bengals,1.0,48.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BENGALS@CHIEFS,
2006,1,Commanders,Vikings,4.0,36.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::VIKINGS@COMMANDERS,
2006,1,Giants,Colts,-3.0,48.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COLTS@GIANTS,
2006,1,Jaguars,Cowboys,-2.0,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COWBOYS@JAGUARS,
2006,1,Lions,Seahawks,-6.0,44.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SEAHAWKS@LIONS,
2006,1,Packers,Bears,-3.5,34.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BEARS@PACKERS,
2006,1,Panthers,Falcons,4.5,38.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::FALCONS@PANTHERS,
2006,1,Patriots,Bills,9.5,41.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BILLS@PATRIOTS,
2006,1,Raiders,Chargers,-3.0,42.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CHARGERS@RAIDERS,
2006,1,Texans,Eagles,-6.0,38.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::EAGLES@TEXANS,
2006,2,49ers,Rams,-3.0,43.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAMS@49ERS,
2006,2,9/17 1:00 ET At Indianapolis -12.5 Houston 47.5,Date & Time Favorite Line Underdog Total,9.0,9.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@917_100_ET_AT_INDIANAPOLIS_125_HOUSTON_475,
2006,2,Bears,Lions,7.5,32.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::LIONS@BEARS,
2006,2,Broncos,Chiefs,10.5,38.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CHIEFS@BRONCOS,
2006,2,Chargers,Titans,11.5,38.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::TITANS@CHARGERS,
2006,2,Cowboys,Commanders,7.0,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COMMANDERS@COWBOYS,
2006,2,Dolphins,Bills,6.5,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BILLS@DOLPHINS,
2006,2,Eagles,Giants,2.5,42.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::GIANTS@EAGLES,
2006,2,Falcons,Buccaneers,4.5,35.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BUCCANEERS@FALCONS,
2006,2,Jaguars,Steelers,-2.5,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::STEELERS@JAGUARS,
2006,2,Jets,Patriots,-6.0,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PATRIOTS@JETS,
2006,2,Packers,Saints,-1.5,39.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SAINTS@PACKERS,
2006,2,Seahawks,Cardinals,7.0,47.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::CARDINALS@SEAHAWKS,
2006,2,Vikings,Panthers,2.0,37.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PANTHERS@VIKINGS,
2006,3,49ers,Eagles,-6.5,42.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::EAGLES@49ERS,
2006,3,9/24 1:00 ET At Pittsburgh -2 Cincinnati 42,Date & Time Favorite Line Underdog Total,9.0,9.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@924_100_ET_AT_PITTSBURGH_2_CINCINNATI_42,
2006,3,Browns,Ravens,-7.0,33.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAVENS@BROWNS,
2006,3,Buccaneers,Panthers,-3.5,33.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PANTHERS@BUCCANEERS,
2006,3,Cardinals,Rams,4.5,44.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::RAMS@CARDINALS,
2006,3,Dolphins,Titans,10.5,35.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::TITANS@DOLPHINS,
2006,3,Lions,Packers,6.5,40.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PACKERS@LIONS,
2006,3,Patriots,Broncos,6.5,38.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BRONCOS@PATRIOTS,
2006,3,Saints,Falcons,-4.0,45.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::FALCONS@SAINTS,
2006,3,Seahawks,Giants,3.5,42.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::GIANTS@SEAHAWKS,
2006,3,Texans,Commanders,-4.0,37.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::COMMANDERS@TEXANS,
2006,3,Vikings,Bears,-4.0,35.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::BEARS@VIKINGS,
2006,4,10/1 1:00 ET At Baltimore -1 San Diego 33.5,Date & Time Favorite Line Underdog Total,10.0,10.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::DATE_TIME_FAVORITE_LINE_UNDERDOG_TOTAL@101_100_ET_AT_BALTIMORE_1_SAN_DIEGO_335,
2006,4,Bears,Seahawks,3.5,36.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::SEAHAWKS@BEARS,
2006,4,Bengals,Patriots,5.5,46.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::PATRIOTS@BENGALS,
2006,4,Chiefs,49ers,7.0,39.5,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::49ERS@CHIEFS,
2006,4,Commanders,Jaguars,-2.0,34.0,,,,,,,,,2025-09-24 14:16:15.087878+00:00,,,,,,2025-09-24 14:16:15.087878+00:00,::JAGUARS@COMMANDERS,
